"Messagekey","Comment","Comment"
"late-today","Arrived late today","Danas zakasnio/la u školu"
"late-yesterday","Arrived late yesterday","Juče zakasnio/la u školu"
"ontime-today","Arrived on time today","Danas došao/la na vrijeme u školu"
"ontime-yesterday","Arrived on time yesterday","Juče došao/la na vrijeme u školu"
"cannottest","Cannot test until incomplete assignments are finished","Ne može polagati test sve dok ne završi sa zadacima"
"chewedgum","Chewed gum in class","Žvakao/la žvakaću gumu na času"
"completedweek","Completed all of the week's assignments on time","Završio/la sve zadatke za ovu sedmicu na vrijeme"
"completedwork","Completed all required work on time","Završio/la sve potrebne radove na vrijeme"
"contributedproject","Contributed to the class project","Doprinosio/la razrednom projektu"
"contributeddiscussion","Contributed to the discussion","Doprinosio/la diskusiji"
"cooperated","Cooperated and followed directions","Sarađivao/la i pridržavao/la se uputstava"
"eagernesstolearn","Demonstrated eagerness to learn","Pokazao/la volju za učenjem"
"pooreffort","Demonstrated poor effort in class","Uložio/la slabe napore na času"
"notcompleteproject","Did not complete the class project","Nije završio/la razredni projekt"
"notmuchwork","Did not do much work in class today","Danas nije puno radio/la na času"
"notfollowdirection","Did not follow directions","Nije se pridržavao/la uputstava"
"missinghomework","Did not turn in a required homework assignment","Nije predao/la obaveznu domaću zadaću"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Nije predao/la više obaveznih domaćih zadaća"
"notwearuniform","Did not wear the school uniform","Nije nosio/la školsku uniformu"
"notworkwell","Did not work well with others","Nije dobro sarađivao/la sa ostalima"
"disobeyed","Disobeyed the teacher","Nije poštivao/la nastavnika/cu"
"goodbehavior","Displayed good behavior","Dobro se ponašao/la"
"distrupted","Disrupted the learning of others","Ometao/la učenje drugih učenika"
"excell-algebra","Excelled at algebra","Isticao/la se u algebri"
"excell-art","Excelled at art","Isticao/la se u umjetnosti (likovnom)"
"excell-english","Excelled at English","Isticao/la se u engleskom jeziku"
"excell-frensh","Excelled at French","Isticao/la se u francuskom jeziku"
"excell-geometry","Excelled at geometry","Isticao/la se u geometriji"
"excell-math","Excelled at math","Isticao/la se u matematici"
"excell-spanish","Excelled at Spanish","Isticao/la se u španskom jeziku"
"excell-spelling","Excelled at spelling","Isticao/la se u pravopisu"
"excell-writing","Excelled at writing","Isticao/la se u pisanju"
"greateattitude","Had a great attitude","Imao/la odličan stav"
"cellphone","Had a mobile phone in violation of school policy","Imao/la mobilni telefon protivno školskom pravilniku"
"fieldtrip-friday","Has a field trip Friday","Ide na izlet u petak"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Ide na izlet u petak. Molimo da vratite potpisani obrazac."
"fieldtrip-monday","Has a field trip Monday","Ide na izlet u ponedjeljak"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","Ide na izlet u ponedjeljak. Molimo da vratite potpisani obrazac."
"fieldtrip-nextfriday","Has a field trip next Friday","Ide na izlet sljedećeg petka"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Ide na izlet sljedećeg petka. Molimo da vratite potpisani obrazac."
"Fieldtrip-nextmonday","Has a field trip next Monday","Ide na izlet sljedećeg ponedjeljka"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Ide na izlet sljedećeg ponedjeljka. Molimo da vratite potpisani obrazac."
"fieldtrip-nextthursday","Has a field trip next Thursday","Ide na izlet sljedećeg četvrtka"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Ide na izlet sljedećeg četvrtka. Molimo da vratite potpisani obrazac."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Ide na izlet sljedećeg utorka"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Ide na izlet sljedećeg utorka. Molimo da vratite potpisani obrazac."
