"Messagekey","Comment","Comment"
"late-today","Arrived late today","Est arrivé en retard aujourd'hui"
"late-yesterday","Arrived late yesterday","Est arrivé en retard hier"
"ontime-today","Arrived on time today","Est arrivé à l'heure aujourd'hui"
"ontime-yesterday","Arrived on time yesterday","Est arrivé à l'heure hier"
"cannottest","Cannot test until incomplete assignments are finished","Ne peut pas être évalué tant que les devoirs ne sont pas terminés"
"chewedgum","Chewed gum in class","A mâché du chewing-gum en classe"
"completedweek","Completed all of the week's assignments on time","A terminé tous les devoirs de la semaine à temps"
"completedwork","Completed all required work on time","A terminé tout le travail obligatoire à temps"
"contributedproject","Contributed to the class project","A contribué au projet de classe"
"contributeddiscussion","Contributed to the discussion","A participé à la discussion"
"cooperated","Cooperated and followed directions","A coopéré et a suivi les consignes"
"eagernesstolearn","Demonstrated eagerness to learn","A prouvé son envie d'apprendre"
"pooreffort","Demonstrated poor effort in class","A peu travaillé en classe"
"notcompleteproject","Did not complete the class project","N'a pas terminé le projet de classe"
"notmuchwork","Did not do much work in class today","N'a pas beaucoup travaillé en classe aujourd'hui"
"notfollowdirection","Did not follow directions","N'a pas suivi les consignes"
"missinghomework","Did not turn in a required homework assignment","N'a pas rendu les devoirs obligatoires"
"missingmultiplehomework","Did not turn in multiple required homework assignments","N'a pas rendu de nombreux devoirs obligatoires"
"notwearuniform","Did not wear the school uniform","N'a pas porté l'uniforme de l'école"
"notworkwell","Did not work well with others","N'a pas bien travaillé avec d'autres"
"disobeyed","Disobeyed the teacher","A désobéi à l'enseignant"
"goodbehavior","Displayed good behavior","S'est bien comporté"
"distrupted","Disrupted the learning of others","A perturbé l'apprentissage d'autres élèves"
"excell-algebra","Excelled at algebra","A excellé en algèbre"
"excell-art","Excelled at art","A excellé en art"
"excell-english","Excelled at English","A excellé en anglais"
"excell-frensh","Excelled at French","A excellé en français"
"excell-geometry","Excelled at geometry","A excellé en géométrie"
"excell-math","Excelled at math","A excellé en mathématiques"
"excell-spanish","Excelled at Spanish","A excellé en espagnol"
"excell-spelling","Excelled at spelling","A excellé en orthographe"
"excell-writing","Excelled at writing","A excellé en écriture"
"greateattitude","Had a great attitude","A eu une attitude remarquable"
"cellphone","Had a mobile phone in violation of school policy","Était en possession d'un téléphone portable, en infraction avec le règlement de l'école"
"fieldtrip-friday","Has a field trip Friday","Effectue une sortie éducative vendredi"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Effectue une sortie éducative vendredi. Veuillez nous retourner le formulaire de signature."
"fieldtrip-monday","Has a field trip Monday","Effectue une sortie éducative lundi"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","Effectue une sortie éducative lundi. Veuillez nous retourner le formulaire de signature."
"fieldtrip-nextfriday","Has a field trip next Friday","Effectue une sortie éducative vendredi prochain"
