"Messagekey","Comment","Comment"
"late-today","Arrived late today","Tuaj txog lig hnub no"
"late-yesterday","Arrived late yesterday","Tuaj txog lig nag hmo"
"ontime-today","Arrived on time today","Tuaj txog raws sij hawm hnub no"
"ontime-yesterday","Arrived on time yesterday","Tuaj txog raws sij hawm nag hmo"
"cannottest","Cannot test until incomplete assignments are finished","Xeem tsis tau txog txij ua tiav cov ntawv uas hais kom ua"
"chewedgum","Chewed gum in class","Zom khob noom yas hauv hoob"
"completedweek","Completed all of the week's assignments on time","Ua tiav tag nrho lub lim tiam no cov ntawv raws sij hawm"
"completedwork","Completed all required work on time","Ua tiav tag nrho cov ntawv yuav tsum tau ua raws sij hawm"
"contributedproject","Contributed to the class project","Koom tes rau hauv tes hauj lwm hauv hoob"
"contributeddiscussion","Contributed to the discussion","Koom tes rau hauv qhov kev sib tham"
"cooperated","Cooperated and followed directions","Koom tes thiab ua raws li hais"
"eagernesstolearn","Demonstrated eagerness to learn","Ua pom tias nws txaus siab kawm ntawv"
"pooreffort","Demonstrated poor effort in class","Ua pom tias nws tsis rau siab hauv hoob"
"notcompleteproject","Did not complete the class project","Tsis ua kom tiav tes hauj lwm hauv hoob"
"notmuchwork","Did not do much work in class today","Tsis ua cov ntaub ntawv hauv hoob hnub no"
"notfollowdirection","Did not follow directions","Tsis ua raws li hais kom ua"
"missinghomework","Did not turn in a required homework assignment","Tsis nqa ib qho ntawv ua tom tsev rov tuaj"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Tsis nqa ntau cov ntawv tau ua tom tsev rov tuaj"
"notwearuniform","Did not wear the school uniform","Tsis hnav tsoos tsho tub kawm ntawv"
"notworkwell","Did not work well with others","Tsis ua hauj lwm zoo nrog lwm tus"
"disobeyed","Disobeyed the teacher","Tsis ua raws li tus kws qhia ntawv hais"
"goodbehavior","Displayed good behavior","Coj cwj pwm zoo"
"distrupted","Disrupted the learning of others","Cuam tshuam lwm tus neeg txoj kev kawm"
"excell-algebra","Excelled at algebra","Kawm tau lej algebra zoo"
"excell-art","Excelled at art","Kawm tau kev teeb duab zoo"
"excell-english","Excelled at English","Kawm tau lus Askiv zoo"
"excell-frensh","Excelled at French","Kawm tau lus Fabkis zoo"
"excell-geometry","Excelled at geometry","Kawm tau lej geometry zoo"
"excell-math","Excelled at math","Kawm tau lej zoo"
"excell-spanish","Excelled at Spanish","Kawm tau lus Mev zoo"
"excell-spelling","Excelled at spelling","Kawm tau kev sau tsiaj ntawv meej"
"excell-writing","Excelled at writing","Kawm tau kev sau ntawv zoo"
"greateattitude","Had a great attitude","Tau coj ib tus cwj pwm zoo"
"cellphone","Had a mobile phone in violation of school policy","Tau muaj ib lub xov tooj nqa ntawm duav uas txhaum tsev kawm ntawv txoj cai"
"fieldtrip-friday","Has a field trip Friday","Muaj ib qho chaw mus ua si hnub Zwj Kuab (Friday)"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Muaj ib qho chaw mus ua si hnub Zwj Kuab (Friday). Thov xa daim ntawv kos npe rov tuaj."
