"Messagekey","Comment","Comment"
"late-today","Arrived late today","Te rive an reta jodiya"
"late-yesterday","Arrived late yesterday","Te rive an reta yè"
"ontime-today","Arrived on time today","Te rive alè jodiya"
"ontime-yesterday","Arrived on time yesterday","Te rive alè yè"
"cannottest","Cannot test until incomplete assignments are finished","Pap ka pran egzamen avan devwa ki pa konplè yo fini"
"chewedgum","Chewed gum in class","Te manje chiklèt nan klas"
"completedweek","Completed all of the week's assignments on time","Te fini ak tout devwa semèn nan a tan"
"completedwork","Completed all required work on time","Te fini ak tout travay  obligatwa yo a tan"
"contributedproject","Contributed to the class project","Te kontribye nan pwojè klas la"
"contributeddiscussion","Contributed to the discussion","Te kontribye nan diskisyon an "
"cooperated","Cooperated and followed directions","Te kolabore ak swiv direksyon yo"
"eagernesstolearn","Demonstrated eagerness to learn","Te demontre motivasyon pou aprann"
"pooreffort","Demonstrated poor effort in class","Pa te demontre efò nan klas la"
"notcompleteproject","Did not complete the class project","Pa te fini ak pwojè klas la"
"notmuchwork","Did not do much work in class today","Pa te vrèman fè travay nan klas jodiya"
"notfollowdirection","Did not follow directions","Pa te swiv direksyon"
"missinghomework","Did not turn in a required homework assignment","Pa te soumèt yon devwa lakay ki te obligatwa"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Pa te soumèt anpil devwa lakay ki te obligatwa"
"notwearuniform","Did not wear the school uniform","Pa te mete inifòm lekòl la"
"notworkwell","Did not work well with others","Pa te travay byen ak lòt yo"
"disobeyed","Disobeyed the teacher","Te dezobeyi pwofesè a"
"goodbehavior","Displayed good behavior","Te konpòte li byen"
"distrupted","Disrupted the learning of others","Te fè dezòd ki deranje lòt ki ap aprann"
"excell-algebra","Excelled at algebra","Te travay trè byen nan aljèb"
"excell-art","Excelled at art","Te travay trè byen nan atizay"
"excell-english","Excelled at English","Te travay trè byen nan Angle"
"excell-frensh","Excelled at French","Te travay trè byen nan Franse"
"excell-geometry","Excelled at geometry","Te travay trè byen nan ewometri"
"excell-math","Excelled at math","Te travay trè byen nan matematik"
"excell-spanish","Excelled at Spanish","Te travay trè byen nan Panyòl"
"excell-spelling","Excelled at spelling","Te travay trè byen nan òtograf"
"excell-writing","Excelled at writing","Te travay trè byen nan ekriti"
"greateattitude","Had a great attitude","Te genyen yon bèl atitid"
"cellphone","Had a mobile phone in violation of school policy","Te genyen yon telefòn mobil ki yon vyòl selon regleman lekòl la"
"fieldtrip-friday","Has a field trip Friday","Genyen yon sòti edikatif Vandredi"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Genyen yon sòti edikatif Vandredi. Tanpri voye fòmilè pou siyati a tounen."
"fieldtrip-monday","Has a field trip Monday","Genyen yon sòti edikatif Lendi"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","Genyen yon sòti edikatif Lendi. Tanpri voye fòmilè pou siyati an tounen."
"fieldtrip-nextfriday","Has a field trip next Friday","Genyen yon sòti edikatif Vandredi pwochen"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Genyen yon sòti edikatif Vandredi pwochen. Tanpri voye fòmilè  pou siyati a tounen."
"Fieldtrip-nextmonday","Has a field trip next Monday","Genyen yon sòti edikatif Lendi pwochen"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Genyen yon sòti edikatif Lendi pwochen. Tanpri voye fòmilè pou siyati a tounen."
"fieldtrip-nextthursday","Has a field trip next Thursday","Genyen yon sòti edikatif Jedi pwochen"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Genyen yon sòti edikatif Jedi pwochen. Tanpri voye fòmilè pou siyati a tounen."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Genyen yon sòti edikatif Madi pwochen"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Genyen yon sòti edikatif Madi pwochen. Tanpri voye fòmilè pou siyati a tounen."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","Genyen yon sòti edikatif Mèkredi pwochen"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","Genyen yon sòti edikatif Mèkredi pwochen. Tanpri voye fòmilè pou siyati atounen."
"fieldtrip-thursday","Has a field trip Thursday","Genyen yon sòti edikatif Jedi"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","Genyen yon sòti edikatif Jedi. Tanpri voye fòmilè pou siyati atounen."
"fieldtrip-tuesday","Has a field trip Tuesday","Genyen yon sòti edikatif Madi "
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","Genyen yon sòti edikatif Madi. Tanpri voye fòmilè pou siyati a tounen."
"fieldtrip-wednesday","Has a field trip Wednesday","Genyen yon sòti edikatif Mèkredi"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","Genyen yon sòti edikatif Mèkredi. Tanpri voye fòmilè pou siyati a tounen."
"projectdue-friday","Has a project due Friday","Genyen yon sòti edikatif Vandredi"
"projectdue-nextweek","Has a project due in one week","Genyen yon pwojè pou remèt nan yon semèn"
"projectdue-monday","Has a project due Monday","Genyen yon pwojè pou remèt Lendi"
"projectdue-nextfriday","Has a project due next Friday","Genyen yon pwojè pou remèt Vandredi pwochen"
"projectdue-nextmonday","Has a project due next Monday","Genyen yon pwojè pou remèt Lendi pwochen"
"projectdue-nextthurday","Has a project due next Thursday","Genyen yon pwojè pou remèt Jedi pwochen"
"projectdue-nexttuesday","Has a project due next Tuesday","Genyen yon pwojè pou remèt Madi pwochen"
"projectdue-nextwednesday","Has a project due next Wednesday","Genyen yon pwojè pou remèt Mèkredi pwochen"
"projectdue-thursday","Has a project due Thursday","Genyen yon pwojè pou remèt Jedi"
"projectdue-tuesday","Has a project due Tuesday","Genyen yon pwojè pou remèt Madi "
"projectdue-wednesday","Has a project due Wednesday","Genyen yon pwojè pou remèt Mèkredi "
"balancestudentservices","Has an overdue balance with student services","Genyen yon balans ki an reta nan sèvis etidyan"
"balancenutrition","Has an overdue balance with the child nutrition department","Genyen yon balans ki an reta nan depatman nitrisyon timoun nan"
"balancelibrary","Has an overdue balance with the library","Genyen yon balans ki an reta nan  bibliyotèk la"
"absent5","Has been absent from class five or more times","Pa te vini nan klas senk ou plis fwa"
"absent7","Has been absent from class seven or more times","Pa te vini nan klas sèt ou plis fwa"
"absent3","Has been absent from class three or more times","Pa te vini nan klas twa ou plis fwa"
"awardmonth","Has been awarded student of the month","Te genyen pri kòm etidyan pou mwa a"
"awardweek","Has been awarded student of the week","Te genyen pri kòm etidyan pou semèn nan"
"academicprobation","Has been given academic probation","Nan peryòd eprèv pou amelyore travay li"
"tutoring","Has been recommended for tutoring","Te rekòmande pou resevwa èd yon pwofesè an prive "
"lowergrade","Has dropped by one letter grade in class","Te bese nòt li a yon lèt nan klas"
"extracredit","Has an extra credit assignment","Genyen yon devwa pou resevwa kredi an plis"
"gradingsheet","Has had a grading sheet sent home","Te genyen yon feyè ak nòt yo voye lakay li"
"reportcard","Has had a report card sent home","Te genyen yon kanè yo voye lakay li"
"bettergrade","Has improved by one letter grade in class","Te amelyore nòt li a yon lèt nan klas"
"workedhard","Has worked hard and is improving performance","Te fè anpil efò epi ap vin travay pi byen"
"helped","Helped the teacher","Te ede pwofesè a"
"improved-algebra","Improved algebra skills","Vin travay pi byen nan aljèb"
"improved-geometry","Improved geometry skills","Vin travay pi byen nan jewometri"
"improved-handwriting","Improved handwriting skills","Vin travay pi byen ak ekriti alamen li"
"improved-language","Improved language skills","Vin travay pi byen nan langaj"
"improved-math","Improved math skills","Vin travay pi byen nan matematik"
"improved-spelling","Improved spelling skills","Vin travay pi byen nan otograf"
"topperformer","Is a top performer in class","Youn nan pi bon elèv yo nan klas li"
"riskgraduating","Is at risk of not graduating","Genyen risk pou li pa gradye"
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Genyen risk pou li pa gradye. Tanpri planifye yon reyinyon."
"failing","Is currently in danger of failing or is failing","An danje konyea pou li pa reyisi oubyen pap reyisi."
"grade-a","Is earning a grade of A in class","Ap genyen yon nòt A nan klas"
"grade-b","Is earning a grade of B in class","Ap genyen yon nòt B nan klas"
"grade-c","Is earning a grade of C in class","Ap genyen yon nòt C nan klas"
"grade-d","Is earning a grade of D in class","Ap genyen yon nòt D nan klas"
"grade-f","Is earning a grade of F in class","Ap genyen yon nòt F nan klas"
"leftclass","Left class without permission","Te kite klas la san pèmisyon"
"losttextbook","Lost one or more textbooks","Te pèdi youn ou de nan liv lekòl yo"
"madenoises","Made inappropriate noises during a test","Te fè bri ki pa apwopriye pandan yon egzamen"
"saturdayschool","Must attend Saturday school","Dwe ale lekòl Samdi"
"test-friday","Must study for Friday's test","Dwe etidye pou egzamen Vandredi a"
"test-monday","Must study for Monday's test","Dwe etidye pou egzamen Lendi a"
"test-nextfriday","Must study for next Friday's test","Dwe etidye pou egzamen Vandredi pwochen a"
"test-nextmonday","Must study for next Monday's test","Dwe etidye pou egzamen Lendi pwochen a"
"test-nextthurday","Must study for next Thursday's test","Dwe etidye pou egzamen Jedi pwochen a"
"test-nexttuesday","Must study for next Tuesday's test","Dwe etidye pou egzamen Madi pwochen a"
"test-nextwednesday","Must study for next Wednesday's test","Dwe etidye pou egzamen Mèkredi pwochen a"
"test-thursday","Must study for Thursday's test","Dwe etidye pou egzamen Jedi a"
"test-tomorrow","Must study for tomorrow's test","Dwe etidye pou egzamen demen a"
"test-tuesday","Must study for Tuesday's test","Dwe etidye pou egzamen Madi a"
"test-wednesday","Must study for Wednesday's test","Dwe etidye pou egzamen Mèkredi a"
"fillplaner","Needs to fill out the daily planner","Bezwen  ranpli kanè pou aktivite chak jou a"
"supplies","Needs to have supplies out and ready at the start of class","Dwe genyen founiti klasik yo deyò ak pre lè klas la kòmanse"
"improve-algebra","Needs to improve handwriting skills","Bezwen amelyore kapasite li nan ekri alamen"
"improve-language","Needs to improve language skills","Bezwen amelyore kapasite li nan langaj"
"improve-math","Needs to improve math skills","Bezwen amelyore kapasite li nan matematilk"
"improve-organizational","Needs to improve organizational skills","Bezwen amelyore kapasite li nan òganizasyon"
"improve-spelling","Needs to improve spelling skills","Bezwen amelyore kapasite li nan òtograf"
"studytest","Needs to study for a test or quiz","Bezwen etidye pou yon egzamen oubyen ti tès"
"takenotes","Needs to take better notes in class","Bezwen pran pi bon nòt nan klas"
"wrokbetter","Needs to work better with others on a team","Bezwen travay pi byen ak lòt yo nan yon ekip"
"participated","Participated well in class","Te patisipe byen nan klas"
"testgrade-a","Received a grade of A on a test or quiz","Te resevwa yon nòt A nan yon egzamen oubyen ti tès"
"testgrade-b","Received a grade of B on a test or quiz","Te resevwa yon nòt B nan yon egzamen oubyen ti tès"
"testgrade-c","Received a grade of C on a test or quiz","Te resevwa yon nòt C nan yon egzamen oubyen ti tès"
"testgrade-d","Received a grade of D on a test or quiz","Te resevwa yon nòt D nan yon egzamen oubyen ti tès"
"testgrade-f","Received a grade of F on a test or quiz","Te resevwa yon nòt F nan yon egzamen oubyen ti tès"
"lowtestscore","Received a low test score","Te resevwa yon pwen ba nan egzamen"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","Bezwen yo planifye yon konferans ant paran-pwofesè pou li pi viv posib. Tanpri kontakte pwofesè a."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","Bezwen yo planifye yon konferans ant paran-pwofesè pou li. Tanpri kontakte pwofesè a."
"scoreperfect","Scored perfectly on the test","Te make yon nòt ki pafè sou tès la"
"scoreverywell","Scored very well on the test","Te make yon nòt ki trè byen sou tès la"
"scorewell","Scored well on the test","Te make yon bon nòt sou tès la"
"shared","Shared well with others","Pataje byen ak lòt yo"
"academicimprovement","Showed improvement in academic achievement","Montre pwogrè nan travay lekòl li"
"behaviorimprovement","Showed improvement in behavior","Montre pwogrè nan konpòtman li"
"improvement","Showed improvement in behavior and academic achievement","Montre pwogrè nan konpòtman ak travay lekòl li"
"slept","Slept in class today","Te dòmi nan klas jodiya"
"focused","Stays focused","Rete konsantre"
"focusedorganized","Stays focused and organized","Rete konsantre ak òganize"
"organized","Stays organized","Rete òganize"
"goodnoted","Takes good notes","Pran bon nòt"
"mobile","Used a mobile phone or other electronic device inappropriately","Te itilize yon telefòn mobil oubyen lòt aparèy elektwonik yon fason ki pa apwopriye"
"badlanguageclass","Used inappropriate language in class","Te itilize langaj ki pa apwopriye nan klas la"
"badlanguagecampus","Used inappropriate language on campus","Te itilize langaj ki pa apwopriye nan lekòl la"
"profanityclass","Used profanity in class ","Te di betiz nan klas la "
"profanitycampus","Used profanity on campus ","Te di betiz nan lekòl la "
"pleasureclass","Was a pleasure to have in class","Te yon plezi pou nou genyen nan klas la"
"absent","Was absent","Te absan"
"absentmakeup","Was absent and needs to complete make up work","Te absan epi bezwen fin ratrape ak travay li"
"assignedproject","Was assigned a project, please check the due date with your child","Genyen yon pwojè yo bay li fè, tanpri verifye date pou remèt li an ak pitit ou"
"assigneddetention","Was assigned detention","Genyen pinisyon"
"homeworkdue-friday","Was assigned homework that is due Friday","Genyen devwa pou fè lakay li dwe remèt Vandredi"
"homeworkdue-monday","Was assigned homework that is due Monday","Genyen devwa pou fè lakay li dwe remèt Lendi"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Genyen devwa pou fè lakay li dwe remèt Vandredi pwochen"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Genyen devwa pou fè lakay li dwe remèt Lendi pwochen"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Genyen devwa pou fè lakay li dwe remèt Jedi pwochen"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Genyen devwa pou fè lakay li dwe remèt Madi pwochen"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Genyen devwa pou fè lakay li dwe remèt Mèkredi pwochen"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Genyen devwa pou fè lakay li dwe remèt Jedi "
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Genyen devwa pou fè lakay li dwe remèt demen"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Genyen devwa pou fè lakay li dwe remèt Madi "
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Genyen devwa pou fè lakay li dwe remèt Mèkredi "
"disrispectfulclassmates","Was disrespectful to classmates","Te derespekte kamarad klas li"
"disrispectfulteacher","Was disrespectful to the teacher","Te derespekte pwofesè li"
"disruptiveevent","Was disruptive during a school event","Te fè tapaj pandan yon evenman lekòl la"
"disruptiveclass","Was disruptive in class","Te fè tapaj nan klas la"
"disruptivefieldtrip","Was disruptive on the field trip","Te fè tapaj nan yon sòti edikatif"
"classpresident","Was elected class president","Te eli kòm delege klas"
"homeworkassignment","Was given a homework assignment","Genyen yon devwa pou fè lakay "
"importantform","Was given an important form which must be returned","Genyen yon fòm enpòtan yo te bay li ki sipoze retounen"
"importantletter","Was given an important letter which must be signed","Genyen yon lèt enpòtan yo te bay li ki sipoze siyen"
"missingreadinglog","Was missing the reading log","Te manke kaye lekti li an"
"notattentive","Was not attentive in class","Pa te pote atansyon nan klas"
"inappropriatedressed","Was not dressed appropriately","Pa te abiye yon fason ki apwopriye"
"notdressedpe","Was not dressed properly for P.E.","Pat abiye byen pou klas P.E. (spò)"
"notpresentmakeup","Was not present in class and needs to complete make-up work","Pa te prezan nan klas epi bezwen ratrape ak travay li"
"gradingsheet-friday","Will have a grading sheet sent home Friday","Pral genyen yon feyè ak nòt  yo voye lakay li Vandredi"
"gradingsheet-monday","Will have a grading sheet sent home Monday","Pral genyen yon feyè ak nòt  yo voye lakay li Lendi"
"gradingsheet-nextfriday","Will have a grading sheet sent home next Friday","Pral genyen yon feyè ak nòt  yo voye lakay li Vandredi pwochen"
"gradingsheet-nextmonday","Will have a grading sheet sent home next Monday","Pral genyen yon feyè ak nòt  yo voye lakay li Lendi pwochen"
"gradingsheet-nextthursday","Will have a grading sheet sent home next Thursday","Pral genyen yon feyè ak nòt  yo voye lakay li Jedi pwochen"
"gradingsheet-nexttuesday","Will have a grading sheet sent home next Tuesday","Pral genyen yon feyè ak nòt  yo voye lakay li Madi pwochen"
"gradingsheet-nextwednesday","Will have a grading sheet sent home next Wednesday","Pral genyen yon feyè ak nòt  yo voye lakay li Mèkredi pwochen"
"gradingsheet-thursday","Will have a grading sheet sent home Thursday","Pral genyen yon feyè ak nòt  yo voye lakay li Jedi "
"gradingsheet-tuesday","Will have a grading sheet sent home Tuesday","Pral genyen yon feyè ak nòt  yo voye lakay li Madi"
"gradingsheet-wednesday","Will have a grading sheet sent home Wednesday","Pral genyen yon feyè ak nòt  yo voye lakay li Mèkredi"
"reportcard-friday","Will have a report card sent home Friday","Pral genyen yon kanè  yo voye lakay li Vandredi"
"reportcard-monday","Will have a report card sent home Monday","Pral genyen yon kanè  yo voye lakay li Lendi"
"reportcard-nextfriday","Will have a report card sent home next Friday","Pral genyen yon kanè  yo voye lakay li Vandredi"
"reportcard-nextmonday","Will have a report card sent home next Monday","Pral genyen yon kanè  yo voye lakay li Lendi pwochen"
"reportcard-nextthursday","Will have a report card sent home next Thursday","Pral genyen yon kanè  yo voye lakay li Jedi pwochen"
"reportcard-nexttuesday","Will have a report card sent home next Tuesday","Pral genyen yon kanè  yo voye lakay li Madi pwochen"
"reportcard-nextwednesday","Will have a report card sent home next Wednesday","Pral genyen yon kanè  yo voye lakay li Mèkre di pwochen"
"reportcard-thursday","Will have a report card sent home Thursday","Pral genyen yon kanè  yo voye lakay li Jedi "
"reportcard-tuesday","Will have a report card sent home Tuesday","Pral genyen yon kanè  yo voye lakay li Madi"
"reportcard-wednesday","Will have a report card sent home Wednesday","Pral genyen yon kanè  yo voye lakay li Mèkredi"
"inappropriateclothing","Wore inappropriate clothing","Te mete rad ki pa apwopriye"
"wrokedwell","Worked well with others on a team","Te travay byen ak lòt yo an ekip"
"worksefficiently","Works efficiently","Travay avèk efikas"
