"Messagekey","Comment","Comment"
"late-today","Arrived late today","éf¶enHeTAeronminTan;eBlevla"
"late-yesterday","Arrived late yesterday","mSilmijeTAeronminTan;eBlevla"
"ontime-today","Arrived on time today","éf¶enHeTAeronTan;eBlevla"
"ontime-yesterday","Arrived on time yesterday","mSilmijeTAeronTan;eBlevla"
"cannottest","Cannot test until incomplete assignments are finished","minGacRblg)aneT luHRtaEt)anbBa©b;kic©karEdldak;eGayeFVIenApÞHsin"
"chewedgum","Chewed gum in class","TMBarsáekAs‘UenAkñúgfñak;eron"
"completedweek","Completed all of the week's assignments on time","bBa©b;ral;kic©kardak;eGayeFVIenApÞHRbcaMs)aþh_)anTan;eBlevla"
"completedwork","Completed all required work on time","bBa©b;ral;kargarEdldak;eGayeFVITan;eBlevla"
"contributedproject","Contributed to the class project","cUlrYmcMENkenAkñúgKMeragkargarrbs;fñak;eron"
"contributeddiscussion","Contributed to the discussion","cUlrYmcMENkenAkñúgkarBieRKaHeyabl;"
"cooperated","Cooperated and followed directions","shkarN_ nigeFVItamkarENnaM"
"eagernesstolearn","Demonstrated eagerness to learn","bgðajeGayeXIjBIkarCk;citþditGarmµN_kñúgkareronsURt"
"pooreffort","Demonstrated poor effort in class","bgðajeGayeXIjBIPaBminykcitþTukdak;kñúgfñak;eron"
"notcompleteproject","Did not complete the class project","min)anbMeBjkargarenAkñúgKMeragrbs;fñak;eron"
"notmuchwork","Did not do much work in class today","minsUvcUlrYmeFVIkargarenAkñúgfñak;eronéf¶enH"
"notfollowdirection","Did not follow directions","minsþab;karENnaM"
"missinghomework","Did not turn in a required homework assignment","min)anRbmUlkic©karpÞHmYyEdlRKUdak;eGayeFVImkvij"
"missingmultiplehomework","Did not turn in multiple required homework assignments","min)anRbmUlkic©karpÞHeRcInEdlRKUdak;eGayeFVImkvij"
"notwearuniform","Did not wear the school uniform","min)anesøóksMelokbMBak;ÉksNæanrbs;salaeron"
"notworkwell","Did not work well with others","minsUvRtUvKñaCamYyGñkd¾éT"
"disobeyed","Disobeyed the teacher","minsþab;bgÁab;RKUbeRgón"
"goodbehavior","Displayed good behavior","bgðajnUv\riyabTl¥"
"distrupted","Disrupted the learning of others","rMxankareronsURtrbs;Gñkd¾éT"
"excell-algebra","Excelled at algebra","BUEkmuxviC¢aBICKNit"
"excell-art","Excelled at art","BUEkmuxviC¢asil,³"
"excell-english","Excelled at English","BUEkmuxviC¢aPasaGg;eKøs"
"excell-frensh","Excelled at French","BUEkmuxviC¢aPasa)araMg"
"excell-geometry","Excelled at geometry","BUEkmuxviC¢aFrNImaRt"
"excell-math","Excelled at math","BUEkxagKNitviTüa"
"excell-spanish","Excelled at Spanish","BUEkmuxviC¢aPasaeGs:,aj"
"excell-spelling","Excelled at spelling","BUEkmuxviC¢asresrtamGan"
"excell-writing","Excelled at writing","BUEkmuxviC¢asresrGtßbT"
"greateattitude","Had a great attitude","man\riyabTl¥"
"cellphone","Had a mobile phone in violation of school policy",")aneRbITUrs½BÞédedaybMBanTAnwgeKalneya)ayrbs;salaeron"
"fieldtrip-friday","Has a field trip Friday","manTsSnkic©sikSamYyenAéf¶suRk"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","manTsSnkic©sikSamYyenAéf¶suRk. sUmemtþamkbMeBjEbbbT."
"fieldtrip-monday","Has a field trip Monday","manTsSnkic©sikSamYyenAéf¶c½nÞ"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","manTsSnkic©sikSamYyenAéf¶c½nÞ. sUmemtþamkbMeBjEbbbT."
"fieldtrip-nextfriday","Has a field trip next Friday","manTsSnkic©sikSamYyenAéf¶suRks)aþh_eRkay"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","manTsSnkic©sikSamYyenAéf¶suRks)aþh_eRkay. sUmemtþamkbMeBjEbbbT."
"Fieldtrip-nextmonday","Has a field trip next Monday","manTsSnkic©sikSamYyenAéf¶c½nÞs)aþh_eRkay "
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","manTsSnkic©sikSamYyenAéf¶c½nÞs)aþh_eRkay. sUmemtþamkbMeBjEbbbT."
"fieldtrip-nextthursday","Has a field trip next Thursday","manTsSnkic©sikSamYyenAéf¶RBhs,t×s)aþh_eRkay"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","manTsSnkic©sikSamYyenAéf¶RBhs,t×s)aþh_eRkay. sUmemtþamkbMeBjEbbbT."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","manTsSnkic©sikSamYyenAéf¶GgÁars)aþh_eRkay "
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","manTsSnkic©sikSamYyenAéf¶GgÁars)aþh_eRkay. sUmemtþamkbMeBjEbbbT."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","manTsSnkic©sikSamYyenAéf¶BuFs)aþh_eRkay "
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","manTsSnkic©sikSamYyenAéf¶BuFs)aþh_eRkay. sUmemtþamkbMeBjEbbbT. "
"fieldtrip-thursday","Has a field trip Thursday","mandMeNIrTsSnkic©sikSamYyenAéf¶RBhs,t× "
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","mandMeNIrTsSnkic©sikSamYyenAéf¶RBhs,t×. sUmemtþamkbMeBjEbbbT."
"fieldtrip-tuesday","Has a field trip Tuesday","manTsSnkic©sikSamYyenAéf¶GgÁar"
