"Messagekey","Comment","Comment"
"late-today","Arrived late today","ມື້ນີ້ມາຮອດຊ້າ"
"late-yesterday","Arrived late yesterday","ມື້ວານນີ້ມາຮອດຊ້າ"
"ontime-today","Arrived on time today","ມື້ນີ້ມາຮອດຕົງເວລາ"
"ontime-yesterday","Arrived on time yesterday","ມື້ວານນີ້ມາຮອດຕົງເວລາ"
"cannottest","Cannot test until incomplete assignments are finished","ບໍ່ສາມາດທົດສອບໄດ້ຈົນກວ່າຈະເຮັດວຽກບ້ານທີ່ໄດ້ຮັບມອບໝາຍແຕ່ບໍ່ສຳເລັດຈົບແລ້ວ"
"chewedgum","Chewed gum in class","ຫຍ້ຳໝາກຝຣັ່ງໃນຫ້ອງຮຽນ"
"completedweek","Completed all of the week's assignments on time","ເຮັດວຽກບ້ານທີ່ມອບໝາຍໃຫ້ທັງອາທິດສຳເລັດຕົງເວລາ"
"completedwork","Completed all required work on time","ເຮັດທຸກວຽກທີ່ກຳນົດໃຫ້ສຳເລັດຕົງເວລາ"
"contributedproject","Contributed to the class project","ປະກອບສ່ວນເຂົ້າໃນໂຄງການຂອງຫ້ອງຮຽນ"
"contributeddiscussion","Contributed to the discussion","ປະກອບສ່ວນເຂົ້າໃນການປຶກສາຫາລື"
"cooperated","Cooperated and followed directions","ໃຫ້ການຮ່ວມມື ແລະ ເຮັດຕາມຄຳສັ່ງ"
"eagernesstolearn","Demonstrated eagerness to learn","ສະແດງຄວາມກະຕືລືລົ້ນທີ່ຈະຮຽນ"
"pooreffort","Demonstrated poor effort in class","ສະແດງຄວາມພະຍາຍາມໜ້ອຍໃນຫ້ອງຮຽນ"
"notcompleteproject","Did not complete the class project","ເຮັດໂຄງການຂອງຫ້ອງບໍ່ສຳເລັດ"
"notmuchwork","Did not do much work in class today","ມື້ນີ້ບໍ່ເຮັດວຽກໃນຫ້ອງຮຽນຫຼາຍ"
"notfollowdirection","Did not follow directions","ບໍ່ເຮັດຕາມຄຳສັ່ງ"
"missinghomework","Did not turn in a required homework assignment","ບໍ່ສົ່ງວຽກບ້ານທີ່ກຳນົດໄວ້"
"missingmultiplehomework","Did not turn in multiple required homework assignments","ບໍ່ສົ່ງວຽກບ້ານທີ່ກຳນົດໄວ້ຫຼາຍອັນ"
"notwearuniform","Did not wear the school uniform","ບໍ່ໄດ້ນຸ່ງແບບຟອມຂອງໂຮງຮຽນ"
"notworkwell","Did not work well with others","ເຮັດວຽກກັບຄົນອື່ນບໍ່ໄດ້ດີ"
"disobeyed","Disobeyed the teacher","ບໍ່ເຮັດຕາມຄຳສັ່ງຄູ"
"goodbehavior","Displayed good behavior","ສະແດງພຶດຕິກຳທີ່ດີ"
"distrupted","Disrupted the learning of others","ລົບກວນການຮຽນຂອງຜູ້ອື່ນ"
"excell-algebra","Excelled at algebra","ດີເລີດໃນວິຊາພືດຊະຄະນິດ"
"excell-art","Excelled at art","ດີເລີດໃນວິຊາສິລປະ"
"excell-english","Excelled at English","ດີເລີດໃນວິຊາພາສາອັງກິດ"
"excell-frensh","Excelled at French","ດີເລີດໃນວິຊາພາສາຝຣັ່ງ"
"excell-geometry","Excelled at geometry","ດີເລີດໃນວິຊາເລຂາຄະນິດ"
"excell-math","Excelled at math","ດີເລີດໃນວິຊາຄະນິດສາດ"
"excell-spanish","Excelled at Spanish","ດີເລີດໃນວິຊາພາສາສະເປນ"
"excell-spelling","Excelled at spelling","ດີເລີດໃນການສະກົດ"
"excell-writing","Excelled at writing","ດີເລີດໃນການຂຽນ"
"greateattitude","Had a great attitude","ມີທັດສະນະຄະນະຕິທີ່ດີ"
"cellphone","Had a mobile phone in violation of school policy","ມີມືຖືຊຶ່ງລະເມີດນະໂຍບາຍຂອງໂຮງຮຽນ"
"fieldtrip-friday","Has a field trip Friday","ມີທັດສະນະສຶກສາວັນສຸກ"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","ມີທັດສະນະສຶກສາວັນສຸກ. ກະລຸນາສົ່ງແບບຟອມຄືນພ້ອມທັງລາຍເຊັນ."
"fieldtrip-monday","Has a field trip Monday","ມີທັດສະນະສຶກສາວັນຈັນ"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","ມີທັດສະນະສຶກສາວັນຈັນ. ກະລຸນາສົ່ງແບບຟອມຄືນພ້ອມທັງລາຍເຊັນ."
"fieldtrip-nextfriday","Has a field trip next Friday","ມີທັດສະນະສຶກສາວັນສຸກໜ້າ"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","ມີທັດສະນະສຶກສາວັນສຸກໜ້າ. ກະລຸນາສົ່ງແບບຟອມຄືນພ້ອມທັງລາຍເຊັນ."
"Fieldtrip-nextmonday","Has a field trip next Monday","ມີທັດສະນະສຶກສາວັນຈັນໜ້າ"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","ມີທັດສະນະສຶກສາວັນຈັນໜ້າ. ກະລຸນາສົ່ງແບບຟອມຄືນພ້ອມທັງລາຍເຊັນ."
"fieldtrip-nextthursday","Has a field trip next Thursday","ມີທັດສະນະສຶກສາວັນພະຫັດໜ້າ"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","ມີທັດສະນະສຶກສາວັນພະຫັດໜ້າ. ກະລຸນາສົ່ງແບບຟອມຄືນພ້ອມທັງລາຍເຊັນ."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","ມີທັດສະນະສຶກສາວັນອັງຄານໜ້າ"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","ມີທັດສະນະສຶກສາວັນອັງຄານໜ້າ. ກະລຸນາສົ່ງແບບຟອມຄືນພ້ອມທັງລາຍເຊັນ."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","ມີທັດສະນະສຶກສາວັນພຸດໜ້າ"
