"Messagekey","Comment","Comment"
"late-today","Arrived late today","Dzisiaj się spóźnił(a)"
"late-yesterday","Arrived late yesterday","Wczoraj się spóźnił(a)"
"ontime-today","Arrived on time today","Dzisiaj przybył(a) na czas"
"ontime-yesterday","Arrived on time yesterday","Wczoraj przybył(a) na czas"
"cannottest","Cannot test until incomplete assignments are finished","Nie może wziąć udziału w sprawdzianie do czasu ukończenia niekompletnych zadań"
"chewedgum","Chewed gum in class","Żuł(a) gumę podczas lekcji"
"completedweek","Completed all of the week's assignments on time","W tym tygodniu ukończył(a) wszystkie zadania w terminie"
"completedwork","Completed all required work on time","Ukończył(a) wszystkie wymagane prace w terminie"
"contributedproject","Contributed to the class project","Brał(a) udział w realizowanym w klasie projekcie"
"contributeddiscussion","Contributed to the discussion","Brał (a) udział w dyskusji w klasie"
"cooperated","Cooperated and followed directions","Współpracował(a) i wykonał(a) polecenia"
"eagernesstolearn","Demonstrated eagerness to learn","Wykazał(a) chęć do nauki"
"pooreffort","Demonstrated poor effort in class","Nie starał(a) się podczas lekcji"
"notcompleteproject","Did not complete the class project","Nie ukończył(a) realizowanego w klasie projektu"
"notmuchwork","Did not do much work in class today","Nie udzielał(a) się wystarczająco podczas zajęć w klasie"
"notfollowdirection","Did not follow directions","Nie wykonał(a) do poleceń"
"missinghomework","Did not turn in a required homework assignment","Nie oddał(a) zadanej pracy domowej"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Nie oddał(a) kilku zadanych prac domowych"
"notwearuniform","Did not wear the school uniform","Nie miał(a) mundurka szkolnego"
"notworkwell","Did not work well with others","Nie współpracował(a) z innymi"
"disobeyed","Disobeyed the teacher","Nie słuchał(a) nauczyciela"
"goodbehavior","Displayed good behavior","Dobrze się zachowywał(a)"
"distrupted","Disrupted the learning of others","Przeszkadzał(a) innym w nauce"
"excell-algebra","Excelled at algebra","Celuje w algebrze"
"excell-art","Excelled at art","Celuje w plastyce"
"excell-english","Excelled at English","Celuje w angielskim"
"excell-frensh","Excelled at French","Celuje we francuskim"
"excell-geometry","Excelled at geometry","Celuje w geometrii"
"excell-math","Excelled at math","Celuje w matematyce"
"excell-spanish","Excelled at Spanish","Celuje w hiszpańskim"
"excell-spelling","Excelled at spelling","Celuje w ortografii"
"excell-writing","Excelled at writing","Celuje w pisaniu"
"greateattitude","Had a great attitude","Wykazuje pozytywne nastawienie"
"cellphone","Had a mobile phone in violation of school policy","Wbrew regulaminowi szkoły miał(a) telefon komórkowy"
"fieldtrip-friday","Has a field trip Friday","W piątek ma wycieczkę szkolną"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","W piątek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-monday","Has a field trip Monday","W poniedziałek ma wycieczkę szkolną"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","W poniedziałek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-nextfriday","Has a field trip next Friday","W przyszły piątek ma wycieczkę szkolną"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","W przyszły piątek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"Fieldtrip-nextmonday","Has a field trip next Monday","W przyszły poniedziałek ma wycieczkę szkolną"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","W przyszły poniedziałek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-nextthursday","Has a field trip next Thursday","W przyszły czwartek ma wycieczkę szkolną"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","W przyszły czwartek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","W przyszły wtorek ma wycieczkę szkolną"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","W przyszły wtorek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","W przyszłą środę ma wycieczkę szkolną"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","W przyszłą środę ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-thursday","Has a field trip Thursday","W czwartek ma wycieczkę szkolną"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","W czwartek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-tuesday","Has a field trip Tuesday","We wtorek ma wycieczkę szkolną"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","We wtorek ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"fieldtrip-wednesday","Has a field trip Wednesday","W środę ma wycieczkę szkolną"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","W środę ma wycieczkę szkolną. Prosimy o zwrot podpisanego formularza."
"projectdue-friday","Has a project due Friday","W piątek powinien/powinna oddać projekt"
"projectdue-nextweek","Has a project due in one week","Za tydzień powinien/powinna oddać projekt"
"projectdue-monday","Has a project due Monday","W poniedziałek powinien/powinna oddać projekt"
"projectdue-nextfriday","Has a project due next Friday","W przyszły piątek powinien/powinna oddać projekt"
"projectdue-nextmonday","Has a project due next Monday","W przyszły poniedziałek powinien/powinna oddać projekt"
"projectdue-nextthurday","Has a project due next Thursday","W przyszły czwartek powinien/powinna oddać projekt"
"projectdue-nexttuesday","Has a project due next Tuesday","W przyszły wtorek powinien/powinna oddać projekt"
"projectdue-nextwednesday","Has a project due next Wednesday","W przyszłą środę powinien/powinna oddać projekt"
"projectdue-thursday","Has a project due Thursday","W czwartek powinien/powinna oddać projekt"
"projectdue-tuesday","Has a project due Tuesday","We wtorek powinien/powinna oddać projekt"
"projectdue-wednesday","Has a project due Wednesday","W środę powinien/powinna oddać projekt"
"balancestudentservices","Has an overdue balance with student services","Zalega z płatnością za usługi socjalne dla uczniów"
"balancenutrition","Has an overdue balance with the child nutrition department","Zalega z płatnością w dziale żywienia dzieci"
"balancelibrary","Has an overdue balance with the library","Zalega z płatnością w bibliotece"
"absent5","Has been absent from class five or more times","Opuścił(a) pięć lub więcej lekcji"
"absent7","Has been absent from class seven or more times","Opuścił(a) siedem lub więcej lekcji"
