"Messagekey","Comment","Comment"
"late-today","Arrived late today","Chegou atrasado hoje"
"late-yesterday","Arrived late yesterday","Chegou atrasado ontem"
"ontime-today","Arrived on time today","Chegou na hora hoje"
"ontime-yesterday","Arrived on time yesterday","Chegou na hora ontem"
"cannottest","Cannot test until incomplete assignments are finished","Não é possível fazer o teste até que os deveres incompletos sejam concluídos"
"chewedgum","Chewed gum in class","Goma de mascar na sala de aula"
"completedweek","Completed all of the week's assignments on time","Concluiu todos os deveres da semana pontualmente"
"completedwork","Completed all required work on time","Concluiu todos os deveres necessários pontualmente"
"contributedproject","Contributed to the class project","Contribuiu com o projeto da turma"
"contributeddiscussion","Contributed to the discussion","Contribuiu com o debate "
"cooperated","Cooperated and followed directions","Cooperou e seguiu as orientações"
"eagernesstolearn","Demonstrated eagerness to learn","Demonstrou vontade de aprender"
"pooreffort","Demonstrated poor effort in class","Demonstrou pouco esforço na sala de aula"
"notcompleteproject","Did not complete the class project","Não concluiu o projeto da turma"
"notmuchwork","Did not do much work in class today","Não produziu muito na sala hoje"
"notfollowdirection","Did not follow directions","Não seguiu as orientações"
"missinghomework","Did not turn in a required homework assignment","Não entregou um dever de casa exigido"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Não entregou diversos deveres de casa exigidos"
"notwearuniform","Did not wear the school uniform","Não usou o uniforme da escola"
"notworkwell","Did not work well with others","Não trabalhou bem com os outros"
"disobeyed","Disobeyed the teacher","Desobedeceu a(o) professor(a)"
"goodbehavior","Displayed good behavior","Demonstrou bom comportamento"
"distrupted","Disrupted the learning of others","Perturbou o aprendizado dos outros"
"excell-algebra","Excelled at algebra","Foi muito bem em álgebra"
"excell-art","Excelled at art","Foi muito bem em artes"
"excell-english","Excelled at English","Foi muito bem em inglês"
"excell-frensh","Excelled at French","Foi muito bem em francês"
"excell-geometry","Excelled at geometry","Foi muito bem em geometria"
"excell-math","Excelled at math","Foi muito bem em matemática"
"excell-spanish","Excelled at Spanish","Foi muito bem em espanhol"
"excell-spelling","Excelled at spelling","Foi muito bem em ortografia"
"excell-writing","Excelled at writing","Foi muito bem em redação"
"greateattitude","Had a great attitude","Teve uma ótima atitude"
"cellphone","Had a mobile phone in violation of school policy","Estava com um telefone celular, violando as normas da escola"
"fieldtrip-friday","Has a field trip Friday","Terá uma excursão escolar na sexta-feira"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","Terá uma excursão escolar na sexta-feira. Devolva o formulário assinado."
"fieldtrip-monday","Has a field trip Monday","Terá uma excursão escolar na segunda-feira"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","Terá uma excursão escolar na segunda-feira. Devolva o formulário assinado."
"fieldtrip-nextfriday","Has a field trip next Friday","Terá uma excursão escolar na próxima sexta-feira"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Terá uma excursão escolar na próxima sexta-feira. Devolva o formulário assinado."
"Fieldtrip-nextmonday","Has a field trip next Monday","Terá uma excursão escolar na próxima segunda-feira"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Terá uma excursão escolar na próxima segunda-feira. Devolva o formulário assinado."
"fieldtrip-nextthursday","Has a field trip next Thursday","Terá uma excursão escolar na próxima quinta-feira"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Terá uma excursão escolar na próxima quinta-feira. Devolva o formulário assinado."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Terá uma excursão escolar na próxima terça-feira"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Terá uma excursão escolar na próxima terça-feira. Devolva o formulário assinado."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","Terá uma excursão escolar na próxima quarta-feira"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","Terá uma excursão escolar na próxima quarta-feira. Devolva o formulário assinado."
"fieldtrip-thursday","Has a field trip Thursday","Terá uma excursão escolar na quinta-feira"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","Terá uma excursão escolar na quinta-feira. Devolva o formulário assinado."
"fieldtrip-tuesday","Has a field trip Tuesday","Terá uma excursão escolar na terça-feira"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","Terá uma excursão escolar na terça-feira. Devolva o formulário assinado."
"fieldtrip-wednesday","Has a field trip Wednesday","Terá uma excursão escolar na quarta-feira"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","Terá uma excursão escolar na quarta-feira. Devolva o formulário assinado."
"projectdue-friday","Has a project due Friday","Tem um projeto para entrega na sexta-feira"
"projectdue-nextweek","Has a project due in one week","Tem um projeto para entrega em uma semana"
"projectdue-monday","Has a project due Monday","Tem um projeto para entrega na segunda-feira"
"projectdue-nextfriday","Has a project due next Friday","Tem um projeto para entrega na próxima sexta-feira"
"projectdue-nextmonday","Has a project due next Monday","Tem um projeto para entrega na próxima segunda-feira"
"projectdue-nextthurday","Has a project due next Thursday","Tem um projeto para entrega na próxima quinta-feira"
"projectdue-nexttuesday","Has a project due next Tuesday","Tem um projeto para entrega na próxima terça-feira"
"projectdue-nextwednesday","Has a project due next Wednesday","Tem um projeto para entrega na próxima quarta-feira"
"projectdue-thursday","Has a project due Thursday","Tem um projeto para entrega na quinta-feira"
"projectdue-tuesday","Has a project due Tuesday","Tem um projeto para entrega na terça-feira"
"projectdue-wednesday","Has a project due Wednesday","Tem um projeto para entrega na quarta-feira"
"balancestudentservices","Has an overdue balance with student services","Tem um saldo vencido em serviços ao aluno"
"balancenutrition","Has an overdue balance with the child nutrition department","Tem um saldo vencido no departamento de nutrição infantil"
"balancelibrary","Has an overdue balance with the library","Tem um saldo vencido na biblioteca"
"absent5","Has been absent from class five or more times","Esteve ausente da aula cinco ou mais vezes"
"absent7","Has been absent from class seven or more times","Esteve ausente da aula sete ou mais vezes"
"absent3","Has been absent from class three or more times","Esteve ausente da aula três ou mais vezes"
"awardmonth","Has been awarded student of the month","Recebeu o título de aluno do mês"
"awardweek","Has been awarded student of the week","Recebeu o título de aluno da semana"
"academicprobation","Has been given academic probation","Está em período de recuperação"
"tutoring","Has been recommended for tutoring","Foi recomendado para aulas particulares"
"lowergrade","Has dropped by one letter grade in class","Caiu um nível na sala de aula"
"extracredit","Has an extra credit assignment","Tem um dever de casa de crédito extra"
"gradingsheet","Has had a grading sheet sent home","Foi enviado um relatório de classificação para casa"
"reportcard","Has had a report card sent home","Foi enviado um boletim para casa"
"bettergrade","Has improved by one letter grade in class","Melhorou um nível na sala de aula"
"workedhard","Has worked hard and is improving performance","Dedicou-se e está melhorando o desempenho"
"helped","Helped the teacher","Ajudou o(a) professor(a)"
"improved-algebra","Improved algebra skills","Melhorou em álgebra"
"improved-geometry","Improved geometry skills","Melhorou em geometria"
"improved-handwriting","Improved handwriting skills","Melhorou em redação"
"improved-language","Improved language skills","Melhorou em idiomas"
"improved-math","Improved math skills","Melhorou em matemática"
"improved-spelling","Improved spelling skills","Melhorou em ortografia"
"topperformer","Is a top performer in class","Tem ótimo rendimento em sala de aula"
"riskgraduating","Is at risk of not graduating","Corre o risco de não se formar"
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Corre o risco de não se formar. Favor marcar uma reunião."
"failing","Is currently in danger of failing or is failing","No momento, corre o risco de ser reprovado ou foi reprovado"
"grade-a","Is earning a grade of A in class","Está recebendo nota A na sala de aula"
"grade-b","Is earning a grade of B in class","Está recebendo nota B na sala de aula"
"grade-c","Is earning a grade of C in class","Está recebendo nota C na sala de aula"
"grade-d","Is earning a grade of D in class","Está recebendo nota D na sala de aula"
"grade-f","Is earning a grade of F in class","Está recebendo nota F na sala de aula"
"leftclass","Left class without permission","Saiu da sala de aula sem permissão"
"losttextbook","Lost one or more textbooks","Perdeu um ou mais livros escolares"
"madenoises","Made inappropriate noises during a test","Fez ruídos inadequados durante uma prova"
"saturdayschool","Must attend Saturday school","Deve comparecer à escola no sábado"
"test-friday","Must study for Friday's test","Deve estudar para a prova de sexta-feira"
"test-monday","Must study for Monday's test","Deve estudar para a prova de segunda-feira"
"test-nextfriday","Must study for next Friday's test","Deve estudar para a prova da próxima sexta-feira"
"test-nextmonday","Must study for next Monday's test","Deve estudar para a prova da próxima segunda-feira"
"test-nextthurday","Must study for next Thursday's test","Deve estudar para a prova da próxima quinta-feira"
"test-nexttuesday","Must study for next Tuesday's test","Deve estudar para a prova da próxima terça-feira"
"test-nextwednesday","Must study for next Wednesday's test","Deve estudar para a prova da próxima quarta-feira"
"test-thursday","Must study for Thursday's test","Deve estudar para a prova de quinta-feira"
"test-tomorrow","Must study for tomorrow's test","Deve estudar para a prova de amanhã"
"test-tuesday","Must study for Tuesday's test","Deve estudar para a prova de terça-feira"
"test-wednesday","Must study for Wednesday's test","Deve estudar para a prova de quarta-feira"
"fillplaner","Needs to fill out the daily planner","Precisa preencher a agenda diária"
"supplies","Needs to have supplies out and ready at the start of class","Precisa ter o material pronto no início da aula"
"improve-algebra","Needs to improve handwriting skills","Precisa melhorar a caligrafia"
"improve-language","Needs to improve language skills","Precisa melhorar em idiomas"
"improve-math","Needs to improve math skills","Precisa melhorar em matemática"
"improve-organizational","Needs to improve organizational skills","Precisa melhorar a organização"
"improve-spelling","Needs to improve spelling skills","Precisa melhorar a ortografia"
"studytest","Needs to study for a test or quiz","Precisa estudar para uma prova ou teste "
"takenotes","Needs to take better notes in class","Precisa fazer anotações melhores em sala de aula"
"wrokbetter","Needs to work better with others on a team","Precisa trabalhar melhor em grupo"
"participated","Participated well in class","Boa participação na sala de aula"
"testgrade-a","Received a grade of A on a test or quiz","Recebeu nota A em uma prova ou teste"
"testgrade-b","Received a grade of B on a test or quiz","Recebeu nota B em uma prova ou teste"
"testgrade-c","Received a grade of C on a test or quiz","Recebeu nota C em uma prova ou teste"
"testgrade-d","Received a grade of D on a test or quiz","Recebeu nota D em uma prova ou teste"
"testgrade-f","Received a grade of F on a test or quiz","Recebeu nota F em uma prova ou teste"
"lowtestscore","Received a low test score","Recebeu nota baixa em um teste"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","É necessário que seja marcada uma reunião de pais e professor(a) assim que possível. Favor entrar em contato com o(a) professor(a)."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","É necessário que seja marcada uma reunião de pais e professor(a). Favor entrar em contato com o(a) professor(a)."
"scoreperfect","Scored perfectly on the test","Tirou nota máxima na prova"
"scoreverywell","Scored very well on the test","Foi muito bem na prova"
