"Messagekey","Comment","Comment"
"late-today","Arrived late today","Опоздал (-а) сегодня"
"late-yesterday","Arrived late yesterday","Опоздал (-а) вчера"
"ontime-today","Arrived on time today","Сегодня пришел (пришла) вовремя"
"ontime-yesterday","Arrived on time yesterday","Вчера пришел (пришла) вовремя"
"cannottest","Cannot test until incomplete assignments are finished","Невозможно тестировать до выполнения незавершенных заданий"
"chewedgum","Chewed gum in class","Жевал (-а) на уроке жевательную резинку"
"completedweek","Completed all of the week's assignments on time","Выполнил (-а) все недельные задания вовремя"
"completedwork","Completed all required work on time","Выполнил (-а) всю требуемую работу вовремя"
"contributedproject","Contributed to the class project","Участвовал (-а) в учебном проекте"
"contributeddiscussion","Contributed to the discussion","Участвовал (-а) в дискуссии"
"cooperated","Cooperated and followed directions","Сотрудничал (-а) и следовал (-а) указаниям"
"eagernesstolearn","Demonstrated eagerness to learn","Продемонстрировал (-а) тягу к знаниям"
"pooreffort","Demonstrated poor effort in class","Продемонстрировал (-а) плохую успеваемость на занятиях"
"notcompleteproject","Did not complete the class project","Не выполнил (-а) учебный проект"
"notmuchwork","Did not do much work in class today","Сегодня плохо работал (-а) на уроке"
"notfollowdirection","Did not follow directions","Не следовал (-а) указаниям"
"missinghomework","Did not turn in a required homework assignment","Не сдал (-а) требуемое домашнее задание"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Не сдал (-а) несколько требуемых домашних заданий"
"notwearuniform","Did not wear the school uniform","Не носил (-а) школьную форму"
"notworkwell","Did not work well with others","Не работал (-а) хорошо с другими"
"disobeyed","Disobeyed the teacher","Не слушался (не слушалась) учителя"
"goodbehavior","Displayed good behavior","Проявил (-а) хорошее поведение"
"distrupted","Disrupted the learning of others","Мешал (-а) обучению других"
"excell-algebra","Excelled at algebra","Отличился (отличилась) в алгебре"
"excell-art","Excelled at art","Отличился (отличилась) в изобразительном искусстве"
"excell-english","Excelled at English","Отличился (отличилась) в английском языке"
"excell-frensh","Excelled at French","Отличился (отличилась) во французском языке"
"excell-geometry","Excelled at geometry","Отличился (отличилась) в геометрии"
"excell-math","Excelled at math","Отличился (отличилась) в математике"
"excell-spanish","Excelled at Spanish","Отличился (отличилась) в испанском языке"
"excell-spelling","Excelled at spelling","Отличился (отличилась) в правописании"
"excell-writing","Excelled at writing","Отличился (отличилась) в письменной практике"
"greateattitude","Had a great attitude","Продемонстрировал (-а) прилежание в учебе"
"cellphone","Had a mobile phone in violation of school policy","Имел (-а) мобильный телефон в нарушение школьной дисциплины"
"fieldtrip-friday","Has a field trip Friday","В пятницу участвует в экскурсии учащихся"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","В пятницу участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-monday","Has a field trip Monday","В понедельник участвует в экскурсии учащихся"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","В понедельник участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-nextfriday","Has a field trip next Friday","В следующую пятницу участвует в экскурсии учащихся"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","В следующую пятницу участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"Fieldtrip-nextmonday","Has a field trip next Monday","В следующий понедельник участвует в экскурсии учащихся"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","В следующий понедельник участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-nextthursday","Has a field trip next Thursday","В следующий четверг участвует в экскурсии учащихся"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","В следующий четверг участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","В следующий вторник участвует в экскурсии учащихся"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","В следующий вторник участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","В следующую среду участвует в экскурсии учащихся"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","В следующую среду участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-thursday","Has a field trip Thursday","В четверг участвует в экскурсии учащихся"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","В четверг участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-tuesday","Has a field trip Tuesday","Во вторник участвует в экскурсии учащихся"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","Во вторник участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"fieldtrip-wednesday","Has a field trip Wednesday","В среду участвует в экскурсии учащихся"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","В среду участвует в экскурсии учащихся. Пожалуйста, сдайте подписанную форму."
"projectdue-friday","Has a project due Friday","Имеет проект со сроком сдачи в пятницу"
"projectdue-nextweek","Has a project due in one week","Имеет проект со сроком сдачи через неделю"
"projectdue-monday","Has a project due Monday","Имеет проект со сроком сдачи в понедельник"
"projectdue-nextfriday","Has a project due next Friday","Имеет проект со сроком сдачи в следующую пятницу"
"projectdue-nextmonday","Has a project due next Monday","Имеет проект со сроком сдачи в следующий понедельник"
"projectdue-nextthurday","Has a project due next Thursday","Имеет проект со сроком сдачи в следующий четверг"
"projectdue-nexttuesday","Has a project due next Tuesday","Имеет проект со сроком сдачи в следующий вторник"
"projectdue-nextwednesday","Has a project due next Wednesday","Имеет проект со сроком сдачи в следующую среду"
"projectdue-thursday","Has a project due Thursday","Имеет проект со сроком сдачи в четверг"
"projectdue-tuesday","Has a project due Tuesday","Имеет проект со сроком сдачи во вторник"
"projectdue-wednesday","Has a project due Wednesday","Имеет проект со сроком сдачи в среду"
"balancestudentservices","Has an overdue balance with student services","Имеет задолженность по ученическим службам"
"balancenutrition","Has an overdue balance with the child nutrition department","Имеет задолженность по отделу детского питания"
"balancelibrary","Has an overdue balance with the library","Имеет задолженность по библиотеке"
"absent5","Has been absent from class five or more times","Отсутствовал (-а) в классе пять или более раз"
"absent7","Has been absent from class seven or more times","Отсутствовал (-а) в классе семь или более раз"
"absent3","Has been absent from class three or more times","Отсутствовал (-а) в классе три раза или более "
"awardmonth","Has been awarded student of the month","Присуждено звание «Ученик (ученица) месяца»"
"awardweek","Has been awarded student of the week","Присуждено звание «Ученик (ученица) недели»"
"academicprobation","Has been given academic probation","Дан академический испытательный срок"
"tutoring","Has been recommended for tutoring","Рекомендовано репетиторство"
"lowergrade","Has dropped by one letter grade in class","Снизил (-а) успеваемость на одну буквенную оценку"
"extracredit","Has an extra credit assignment","Получил (-а) задание, дающее шансы на получение дополнительных баллов"
"gradingsheet","Has had a grading sheet sent home","Оценочный лист был выслан на дом"
"reportcard","Has had a report card sent home","Табель успеваемости был выслан на дом"
"bettergrade","Has improved by one letter grade in class","Улучшил (-а) успеваемость на одну буквенную оценку"
"workedhard","Has worked hard and is improving performance","Упорно работал (-а) и улучшает успеваемость"
"helped","Helped the teacher","Помогал (-а) учителю"
"improved-algebra","Improved algebra skills","Улучшил (-а) знания по алгебре"
"improved-geometry","Improved geometry skills","Улучшил (-а) знания по геометрии"
"improved-handwriting","Improved handwriting skills","Улучшил (-а) навыки каллиграфии"
"improved-language","Improved language skills","Улучшил (-а) языковые навыки и умения"
"improved-math","Improved math skills","Улучшил (-а) знания по математике"
"improved-spelling","Improved spelling skills","Улучшил (-а) навыки правописания"
"topperformer","Is a top performer in class","Лучший ученик (лучшая ученица) в классе"
"riskgraduating","Is at risk of not graduating","Имеется риск не закончить учебное заведение"
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Имеется риск не закончить учебное заведение. Пожалуйста, запланируйте встречу."
"failing","Is currently in danger of failing or is failing","В настоящее время существует опасность получения отрицательной оценки или такая оценка уже получена"
"grade-a","Is earning a grade of A in class","Получает в классе оценку A"
"grade-b","Is earning a grade of B in class","Получает в классе оценку B"
"grade-c","Is earning a grade of C in class","Получает в классе оценку C"
"grade-d","Is earning a grade of D in class","Получает в классе оценку D"
"grade-f","Is earning a grade of F in class","Получает в классе оценку F"
"leftclass","Left class without permission","Покинул (-а) класс без разрешения"
"losttextbook","Lost one or more textbooks","Потерял (-а) один или более учебников"
"madenoises","Made inappropriate noises during a test","Неподобающим образом шумел (-а) во время теста"
"saturdayschool","Must attend Saturday school","Должен (должна) посещать субботнюю школу"
"test-friday","Must study for Friday's test","Должен (должна) готовиться к тесту, который состоится в пятницу"
"test-monday","Must study for Monday's test","Должен (должна) готовиться к тесту, который состоится в понедельник"
"test-nextfriday","Must study for next Friday's test","Должен (должна) готовиться к тесту, который состоится в следующую пятницу"
"test-nextmonday","Must study for next Monday's test","Должен (должна) готовиться к тесту, который состоится в следующий понедельник"
"test-nextthurday","Must study for next Thursday's test","Должен (должна) готовиться к тесту, который состоится в следующий четверг"
"test-nexttuesday","Must study for next Tuesday's test","Должен (должна) готовиться к тесту, который состоится в следующий вторник"
"test-nextwednesday","Must study for next Wednesday's test","Должен (должна) готовиться к тесту, который состоится в следующую среду"
"test-thursday","Must study for Thursday's test","Должен (должна) готовиться к тесту, который состоится в четверг"
"test-tomorrow","Must study for tomorrow's test","Должен (должна) готовиться к тесту, который состоится завтра"
"test-tuesday","Must study for Tuesday's test","Должен (должна) готовиться к тесту, который состоится во вторник"
"test-wednesday","Must study for Wednesday's test","Должен (должна) готовиться к тесту, который состоится в среду"
"fillplaner","Needs to fill out the daily planner","Необходимо заполнить ежедневник"
"supplies","Needs to have supplies out and ready at the start of class","Необходимо заранее подготовить школьные принадлежности к началу занятия"
"improve-algebra","Needs to improve handwriting skills","Необходимо улучшить навыки каллиграфии"
"improve-language","Needs to improve language skills","Необходимо улучшить языковые навыки и умения"
"improve-math","Needs to improve math skills","Необходимо улучшить математические знания"
"improve-organizational","Needs to improve organizational skills","Необходимо улучшить организационные навыки"
"improve-spelling","Needs to improve spelling skills","Необходимо улучшить навыки правописания"
"studytest","Needs to study for a test or quiz","Необходимо подготовиться к тесту или проверке"
"takenotes","Needs to take better notes in class","Необходимо тщательнее вести записи на уроке"
"wrokbetter","Needs to work better with others on a team","Необходимо лучше работать с другими в группе"
"participated","Participated well in class","Хорошо работал (-а) на уроке"
"testgrade-a","Received a grade of A on a test or quiz","Получил (-а) оценку A по тесту или проверке"
"testgrade-b","Received a grade of B on a test or quiz","Получил (-а) оценку B по тесту или проверке"
"testgrade-c","Received a grade of C on a test or quiz","Получил (-а) оценку C по тесту или проверке"
"testgrade-d","Received a grade of D on a test or quiz","Получил (-а) оценку D по тесту или проверке"
"testgrade-f","Received a grade of F on a test or quiz","Получил (-а) оценку F по тесту или проверке"
"lowtestscore","Received a low test score","Получил (-а) низкий балл по тесту"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","Необходимо как можно скорее провести родительское собрание. Пожалуйста, свяжитесь с учителем."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","Необходимо провести родительское собрание. Пожалуйста, свяжитесь с учителем."
"scoreperfect","Scored perfectly on the test","Получил (-а) высшую оценку по тесту"
"scoreverywell","Scored very well on the test","Получил (-а) оценку «очень хорошо» по тесту"
"scorewell","Scored well on the test","Получил (-а) оценку «хорошо» по тесту"
"shared","Shared well with others","Хорошо проявил (-а) себя в коллективе"
"academicimprovement","Showed improvement in academic achievement","Улучшил (-а) академическую успеваемость"
"behaviorimprovement","Showed improvement in behavior","Улучшил (-а) поведение"
"improvement","Showed improvement in behavior and academic achievement","Улучшил (-а) поведение и академическую успеваемость"
"slept","Slept in class today","Сегодня спал (-а) на уроке"
"focused","Stays focused","Сконцентрирован (-а)"
"focusedorganized","Stays focused and organized","Сконцентрирован (-а) и организован (-а)"
"organized","Stays organized","Организован (-а)"
"goodnoted","Takes good notes","Хорошо ведет записи"
"mobile","Used a mobile phone or other electronic device inappropriately","Ненадлежащим образом использовал (-а) мобильный телефон или другое электронное устройство"
"badlanguageclass","Used inappropriate language in class","Использовал (-а) на занятии ненормативную лексику"
"badlanguagecampus","Used inappropriate language on campus","Использовал (-а) ненормативную лексику на территории учебного заведения"
"profanityclass","Used profanity in class ","Сквернословил (-а) на занятии "
"profanitycampus","Used profanity on campus ","Сквернословил (-а) на территории учебного заведения "
"pleasureclass","Was a pleasure to have in class","Работать с ним (ней) на уроке было удовольствием"
"absent","Was absent","Отсутствовал (-а)"
"absentmakeup","Was absent and needs to complete make up work","Отсутствовал (-а); необходимо отработать пропущенные часы"
"assignedproject","Was assigned a project, please check the due date with your child","Было поручено задание; пожалуйста, узнайте срок исполнения у Вашего ребенка"
"assigneddetention","Was assigned detention","Был (-а) оставлен (-а) после уроков"
"homeworkdue-friday","Was assigned homework that is due Friday","Было задано домашнее задание на пятницу"
"homeworkdue-monday","Was assigned homework that is due Monday","Было задано домашнее задание на понедельник"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Было задано домашнее задание на следующую пятницу"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Было задано домашнее задание на следующий понедельник"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Было задано домашнее задание на следующий четверг"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Было задано домашнее задание на следующий вторник"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Было задано домашнее задание на следующую среду"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Было задано домашнее задание на четверг"
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Было задано домашнее задание на завтра"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Было задано домашнее задание на вторник"
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Было задано домашнее задание на среду"
"disrispectfulclassmates","Was disrespectful to classmates","Был (-а) невежлив (-а) с одноклассниками"
"disrispectfulteacher","Was disrespectful to the teacher","Был (-а) невежлив (-а) с учителем"
"disruptiveevent","Was disruptive during a school event","Хулиганил (-а) на школьном мероприятии"
"disruptiveclass","Was disruptive in class","Хулиганил (-а) на уроке"
"disruptivefieldtrip","Was disruptive on the field trip","Хулиганил (-а) на школьной экскурсии"
"classpresident","Was elected class president","Был (-а) выбран (-а) президентом класса"
"homeworkassignment","Was given a homework assignment","Было дано домашнее задание"
"importantform","Was given an important form which must be returned","Была выдана важная форма, которую необходимо сдать"
"importantletter","Was given an important letter which must be signed","Было выдано важное письмо, которое необходимо подписать"
"missingreadinglog","Was missing the reading log","Отсутствовал журнал чтения"
"notattentive","Was not attentive in class","Был невнимателен (была невнимательна) на уроке"
"inappropriatedressed","Was not dressed appropriately","Был (-а) одет (-а) неподобающим образом"
"notdressedpe","Was not dressed properly for P.E.","Не был (-а) одет (-а) должным образом для занятий по физкультуре"
"notpresentmakeup","Was not present in class and needs to complete make-up work","Не присутствовал (-а) на уроке; необходимо отработать пропущенные часы"
"gradingsheet-friday","Will have a grading sheet sent home Friday","Оценочный лист будет выслан на дом в пятницу"
"gradingsheet-monday","Will have a grading sheet sent home Monday","Оценочный лист будет выслан на дом в понедельник"
"gradingsheet-nextfriday","Will have a grading sheet sent home next Friday","Оценочный лист будет выслан на дом в следующую пятницу"
"gradingsheet-nextmonday","Will have a grading sheet sent home next Monday","Оценочный лист будет выслан на дом в следующий понедельник"
"gradingsheet-nextthursday","Will have a grading sheet sent home next Thursday","Оценочный лист будет выслан на дом в следующий четверг"
"gradingsheet-nexttuesday","Will have a grading sheet sent home next Tuesday","Оценочный лист будет выслан на дом в следующий вторник"
"gradingsheet-nextwednesday","Will have a grading sheet sent home next Wednesday","Оценочный лист будет выслан на дом в следующую среду"
"gradingsheet-thursday","Will have a grading sheet sent home Thursday","Оценочный лист будет выслан на дом в четверг"
"gradingsheet-tuesday","Will have a grading sheet sent home Tuesday","Оценочный лист будет выслан на дом во вторник"
"gradingsheet-wednesday","Will have a grading sheet sent home Wednesday","Оценочный лист будет выслан на дом в среду"
"reportcard-friday","Will have a report card sent home Friday","Табель успеваемости будет выслан на дом в пятницу"
"reportcard-monday","Will have a report card sent home Monday","Табель успеваемости будет выслан на дом в понедельник"
"reportcard-nextfriday","Will have a report card sent home next Friday","Табель успеваемости будет выслан на дом в следующую пятницу"
"reportcard-nextmonday","Will have a report card sent home next Monday","Табель успеваемости будет выслан на дом в следующий понедельник"
"reportcard-nextthursday","Will have a report card sent home next Thursday","Табель успеваемости будет выслан на дом в следующий четверг"
"reportcard-nexttuesday","Will have a report card sent home next Tuesday","Табель успеваемости будет выслан на дом в следующий вторник"
"reportcard-nextwednesday","Will have a report card sent home next Wednesday","Табель успеваемости будет выслан на дом в следующую среду"
"reportcard-thursday","Will have a report card sent home Thursday","Табель успеваемости будет выслан на дом в четверг"
"reportcard-tuesday","Will have a report card sent home Tuesday","Табель успеваемости будет выслан на дом во вторник"
"reportcard-wednesday","Will have a report card sent home Wednesday","Табель успеваемости будет выслан на дом в среду"
"inappropriateclothing","Wore inappropriate clothing","Носил (-а) неподобающую одежду"
"wrokedwell","Worked well with others on a team","Хорошо работал (-а) с другими в группе"
"worksefficiently","Works efficiently","Работает эффективно"
