"Messagekey","Comment","Comment"
"late-today","Arrived late today","Wuu soo daahay maanta"
"late-yesterday","Arrived late yesterday","Wuu soo daahay shalay"
"ontime-today","Arrived on time today","Wakhti buu ku yimid maanta"
"ontime-yesterday","Arrived on time yesterday","Wakhti buu ku yimid shalay"
"cannottest","Cannot test until incomplete assignments are finished","Ma gali karo imtixaanka ilaa tamriinada ama shaqo-guriga loo diray uu ka soo shaqeeyo"
"chewedgum","Chewed gum in class","Xanjo ayuu ku calaashaday fasalka"
"completedweek","Completed all of the week's assignments on time","Wakhti buu ku soo dhameystiray dhamaan shaqadii tobobaadka laga rabay "
"completedwork","Completed all required work on time","Wakhti buu ku soo dhameystiray dhamaan shaqadii laga rabay "
"contributedproject","Contributed to the class project","Wuu ka qaygalay mashruucii fasalka"
"contributeddiscussion","Contributed to the discussion","Wuu ka qaygalay wada-hadalka"
"cooperated","Cooperated and followed directions","Iskaashi buu sameeyay waana uu raacay tilmaamo"
"eagernesstolearn","Demonstrated eagerness to learn","Wuxu muujiyay damac ah inuu wax barto"
"pooreffort","Demonstrated poor effort in class","Wuxu muujiyay dedaal aan fiicnayn gudaha fasalka"
"notcompleteproject","Did not complete the class project","Ma soo dhameystirin mashruucii fasalka"
"notmuchwork","Did not do much work in class today","Shaqo badan kuma qaban gudaha fasalka maanta"
"notfollowdirection","Did not follow directions","Ma raacin fariimaha"
"missinghomework","Did not turn in a required homework assignment","Ma keenin shaqo-guri oo laga rabay"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Ma keenin dhawr shaqo-guri oo laga rabay"
"notwearuniform","Did not wear the school uniform","Ma soo xidhan labiska dugsiga"
"notworkwell","Did not work well with others","Si fiican ulama shaqeyn dadka kale"
"disobeyed","Disobeyed the teacher","Ma adeecin macallinka"
"goodbehavior","Displayed good behavior","Wuxu muujiyay dhaqan fiican"
"distrupted","Disrupted the learning of others","Wuxu qas galiyay waxbarashada ardayda kale"
"excell-algebra","Excelled at algebra","Wuxu ku fiicnaaday aljebra"
"excell-art","Excelled at art","Wuxu ku fiicnaaday fanka ama farshaxanka"
"excell-english","Excelled at English","Wuxu ku fiicnaaday Ingiriisiga"
"excell-frensh","Excelled at French","Wuxu ku fiicnaaday Faransiiska"
"excell-geometry","Excelled at geometry","Wuxu ku fiicnaaday joomatariga"
"excell-math","Excelled at math","Wuxu ku fiicnaaday xisaabta"
