"Messagekey","Comment","Comment"
"late-today","Arrived late today","Запізнився/-лась сьогодні"
"late-yesterday","Arrived late yesterday","Запізнився/-лась вчора"
"ontime-today","Arrived on time today","Сьогодні прийшов/-ла вчасно"
"ontime-yesterday","Arrived on time yesterday","Вчора прийшов/-ла вчасно"
"cannottest","Cannot test until incomplete assignments are finished","Не допускається до тесту, поки не виконає незавершені завдання"
"chewedgum","Chewed gum in class","Жував/-ла на уроці жуйку"
"completedweek","Completed all of the week's assignments on time","Вчасно виконав/-ла усі завдання за тиждень"
"completedwork","Completed all required work on time","Вчасно виконав/-ла усі потрібні завдання"
"contributedproject","Contributed to the class project","Зробив/-ла внесок до проекту класу"
"contributeddiscussion","Contributed to the discussion","Брав/-ла участь у дискусії"
"cooperated","Cooperated and followed directions","Сприяв/-ла учбовому процесу та дотримувався/-лась вказівок"
"eagernesstolearn","Demonstrated eagerness to learn","Проявив/-ла бажання навчатися"
"pooreffort","Demonstrated poor effort in class","Не докладає зусиль під час уроку"
"notcompleteproject","Did not complete the class project","Не завершив/-ла проект для класу"
"notmuchwork","Did not do much work in class today","Мало працював/-ла на уроці сьогодні"
"notfollowdirection","Did not follow directions","Не дотримувався/-лась вказівок"
"missinghomework","Did not turn in a required homework assignment","Не здав/-ла домашнє завдання"
"missingmultiplehomework","Did not turn in multiple required homework assignments","Не здав/-ла багато домашніх завдань"
"notwearuniform","Did not wear the school uniform","Не носить шкільної форми"
"notworkwell","Did not work well with others","Погано працює з іншими"
"disobeyed","Disobeyed the teacher","Не слухався/-лась учителя"
"goodbehavior","Displayed good behavior","Гарна поведінка"
"distrupted","Disrupted the learning of others","Заважав/-ла навчатися іншим"
"excell-algebra","Excelled at algebra","Має успіхи в алгебрі"
"excell-art","Excelled at art","Має успіхи у мистецьких предметах"
"excell-english","Excelled at English","Має успіхи в англійській "
"excell-frensh","Excelled at French","Має успіхи у французькій"
"excell-geometry","Excelled at geometry","Має успіхи в геометрії"
"excell-math","Excelled at math","Має успіхи у математиці"
"excell-spanish","Excelled at Spanish","Має успіхи в іспанській "
"excell-spelling","Excelled at spelling","Покращився правопис"
"excell-writing","Excelled at writing","Покращилось письмо"
"greateattitude","Had a great attitude","Мав/-ла гарне ставлення"
"cellphone","Had a mobile phone in violation of school policy","Мав/-ла мобільний телефон, порушуючи шкільні правила "
"fieldtrip-friday","Has a field trip Friday","У п’ятницю екскурсія"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","У п’ятницю екскурсія. Прохання повернути підписану форму."
"fieldtrip-monday","Has a field trip Monday","У понеділок екскурсія"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","У понеділок екскурсія. Прохання повернути підписану форму."
"fieldtrip-nextfriday","Has a field trip next Friday","Наступної п’ятниці екскурсія"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Наступної п’ятниці екскурсія. Прохання повернути підписану форму."
"Fieldtrip-nextmonday","Has a field trip next Monday","Наступного понеділка екскурсія."
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Наступного понеділка екскурсія. Прохання повернути підписану форму."
"fieldtrip-nextthursday","Has a field trip next Thursday","Наступного четверга екскурсія"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Наступного четверга екскурсія. Прохання повернути підписану форму."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Наступного вівторка екскурсія"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Наступного вівторка екскурсія. Прохання повернути підписану форму."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","Наступної середи екскурсія"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","Наступної середи екскурсія. Прохання повернути підписану форму."
"fieldtrip-thursday","Has a field trip Thursday","У четвер екскурсія"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","У четвер екскурсія. Прохання повернути підписану форму."
"fieldtrip-tuesday","Has a field trip Tuesday","У вівторок екскурсія"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","У вівторок екскурсія. Прохання повернути підписану форму."
"fieldtrip-wednesday","Has a field trip Wednesday","У середу екскурсія"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","У середу екскурсія. Прохання повернути підписану форму."
"projectdue-friday","Has a project due Friday","Дата завершення проекту для класу у п’ятницю."
"projectdue-nextweek","Has a project due in one week","Проект необхідно завершити за тиждень"
"projectdue-monday","Has a project due Monday","Дата завершення проекту у понеділок."
"projectdue-nextfriday","Has a project due next Friday","Дата завершення проекту наступної п’ятниці"
"projectdue-nextmonday","Has a project due next Monday","Дата завершення проекту наступного понеділка"
"projectdue-nextthurday","Has a project due next Thursday","Дата завершення проекту наступного четверга"
"projectdue-nexttuesday","Has a project due next Tuesday","Дата завершення проекту наступного вівторка"
"projectdue-nextwednesday","Has a project due next Wednesday","Дата завершення проекту наступної середи"
"projectdue-thursday","Has a project due Thursday","Дата завершення проекту у четвер"
"projectdue-tuesday","Has a project due Tuesday","Дата завершення проекту у вівторок"
"projectdue-wednesday","Has a project due Wednesday","Дата завершення проекту у середу"
"balancestudentservices","Has an overdue balance with student services","Має борг перед відділом учнівських послуг"
"balancenutrition","Has an overdue balance with the child nutrition department","Має борг перед відділом дитячого харчування"
"balancelibrary","Has an overdue balance with the library","Має борг перед бібліотекою"
"absent5","Has been absent from class five or more times","П’ять або більше разів пропустив/-ла уроки"
"absent7","Has been absent from class seven or more times","Сім або більше разів пропустив/-ла уроки"
"absent3","Has been absent from class three or more times","Три або більше разів пропустив/-ла уроки"
"awardmonth","Has been awarded student of the month","Став/-ла учнем місяця"
"awardweek","Has been awarded student of the week","Став/-ла учнем тижня"
"academicprobation","Has been given academic probation","Поставлений/-а на випробувальний період"
"tutoring","Has been recommended for tutoring","Рекомендований/-а до репетиторства"
"lowergrade","Has dropped by one letter grade in class","Оцінки погіршилися на одну букву оцінювання"
"extracredit","Has an extra credit assignment","Має завдання для отримання додаткового балу"
"gradingsheet","Has had a grading sheet sent home","Надіслано додому табель з оцінками"
"reportcard","Has had a report card sent home","Надіслано додому табель успішності"
"bettergrade","Has improved by one letter grade in class","Оцінки покращилися на одну букву оцінювання"
"workedhard","Has worked hard and is improving performance","Працював/-ла старанно, покращується успішність"
"helped","Helped the teacher","Допомагав/-ла вчителеві"
"improved-algebra","Improved algebra skills","Покращилися вміння з алгебри"
"improved-geometry","Improved geometry skills","Покращилися вміння з геометрії"
"improved-handwriting","Improved handwriting skills","Покращився почерк"
"improved-language","Improved language skills","Покращилися мовні навички"
"improved-math","Improved math skills","Покращилися вміння з математики"
"improved-spelling","Improved spelling skills","Покращився правопис"
"topperformer","Is a top performer in class","Найкращий/-а в класі"
"riskgraduating","Is at risk of not graduating","Є ризик, що може не завершити школу"
"riskgraduatingmeeting","Is at risk of not graduating. Please schedule a meeting.","Є ризик, що може не завершити школу. Прохання запланувати зустріч."
"failing","Is currently in danger of failing or is failing","Може завалити або вже завалює навчання"
"grade-a","Is earning a grade of A in class","Отримує А на уроках"
"grade-b","Is earning a grade of B in class","Отримує В на уроках"
"grade-c","Is earning a grade of C in class","Отримує С на уроках"
"grade-d","Is earning a grade of D in class","Отримує D на уроках"
"grade-f","Is earning a grade of F in class","Отримує F на уроках"
"leftclass","Left class without permission","Пішов/-ла з уроку без дозволу"
"losttextbook","Lost one or more textbooks","Загубив/-ла один або більше підручників"
"madenoises","Made inappropriate noises during a test","Під час тесту робив/-ла недоречні звуки"
"saturdayschool","Must attend Saturday school","Повинен/-на відвідувати школу по суботах"
"test-friday","Must study for Friday's test","Повинен/-на підготуватися до тесту, що буде у п’ятницю "
"test-monday","Must study for Monday's test","Повинен/-на підготуватися до тесту, що буде в понеділок"
"test-nextfriday","Must study for next Friday's test","Повинен/-на підготуватися до тесту, що буде наступної п’ятниці "
"test-nextmonday","Must study for next Monday's test","Повинен/-на підготуватися до тесту, що буде наступного понеділка"
"test-nextthurday","Must study for next Thursday's test","Повинен/-на підготуватися до тесту, що буде наступного четверга "
"test-nexttuesday","Must study for next Tuesday's test","Повинен/-на підготуватися до тесту, що буде наступного вівторка"
"test-nextwednesday","Must study for next Wednesday's test","Повинен/-на підготуватися до тесту, що буде наступної середи"
"test-thursday","Must study for Thursday's test","Повинен/-на підготуватися до тесту, що буде у четвер "
"test-tomorrow","Must study for tomorrow's test","Повинен/-на підготуватися до завтрашнього тесту"
"test-tuesday","Must study for Tuesday's test","Повинен/-на підготуватися до тесту, що буде у вівторок"
"test-wednesday","Must study for Wednesday's test","Повинен/-на підготуватися до тесту, що буде у середу"
"fillplaner","Needs to fill out the daily planner","Необхідно заповнити щоденник"
"supplies","Needs to have supplies out and ready at the start of class","Повинен/-на мати шкільне приладдя готовим на початку уроку"
"improve-algebra","Needs to improve handwriting skills","Потрібно покращити почерк"
"improve-language","Needs to improve language skills","Потрібно покращити мовні навички"
"improve-math","Needs to improve math skills","Потрібно покращити вміння з математики"
"improve-organizational","Needs to improve organizational skills","Потрібно покращити організаційні навички"
"improve-spelling","Needs to improve spelling skills","Потрібно покращити правопис"
"studytest","Needs to study for a test or quiz","Потрібно готуватися до тесту або контрольної роботи"
"takenotes","Needs to take better notes in class","Потрібно краще робити записи під час уроку"
"wrokbetter","Needs to work better with others on a team","Повинен/-на краще співпрацювати з іншими в команді"
"participated","Participated well in class","Гарно працював/-ла під час уроку"
"testgrade-a","Received a grade of A on a test or quiz","Отримав/-ла А за тест або контрольну роботу"
"testgrade-b","Received a grade of B on a test or quiz","Отримав/-ла В за тест або контрольну роботу"
