"Messagekey","Comment","Comment"
"late-today","Arrived late today","今天迟到"
"late-yesterday","Arrived late yesterday","昨天迟到"
"ontime-today","Arrived on time today","今天准时到"
"ontime-yesterday","Arrived on time yesterday","昨天准时到"
"cannottest","Cannot test until incomplete assignments are finished","完成未完成作业后才能参加测试"
"chewedgum","Chewed gum in class","课堂上吃口香糖"
"completedweek","Completed all of the week's assignments on time","按时完成一周的所有作业"
"completedwork","Completed all required work on time","按时完成所有要求的功课"
"contributedproject","Contributed to the class project","积极参与课堂项目"
"contributeddiscussion","Contributed to the discussion","积极参与讨论"
"cooperated","Cooperated and followed directions","团结合作，遵循指引"
"eagernesstolearn","Demonstrated eagerness to learn","表现出强烈的求知欲"
"pooreffort","Demonstrated poor effort in class","课堂上表现不够努力"
"notcompleteproject","Did not complete the class project","未完成课堂项目"
"notmuchwork","Did not do much work in class today","今天课堂上做的功课不多"
"notfollowdirection","Did not follow directions","未遵循指引"
"missinghomework","Did not turn in a required homework assignment","布置的一项家庭作业未交"
"missingmultiplehomework","Did not turn in multiple required homework assignments","布置的多项家庭作业未交"
"notwearuniform","Did not wear the school uniform","未穿校服"
"notworkwell","Did not work well with others","未能与他人良好相处"
"disobeyed","Disobeyed the teacher","不服从教师安排"
"goodbehavior","Displayed good behavior","表现良好"
"distrupted","Disrupted the learning of others","扰乱他人学习"
"excell-algebra","Excelled at algebra","代数成绩优异"
"excell-art","Excelled at art","艺术成绩优异"
"excell-english","Excelled at English","英文成绩优异"
"excell-frensh","Excelled at French","法文成绩优异"
"excell-geometry","Excelled at geometry","几何成绩优异"
"excell-math","Excelled at math","数学成绩优异"
"excell-spanish","Excelled at Spanish","西班牙文成绩优异"
"excell-spelling","Excelled at spelling","拼写成绩优异"
"excell-writing","Excelled at writing","写作成绩优异"
"greateattitude","Had a great attitude","态度良好"
"cellphone","Had a mobile phone in violation of school policy","携带手机，违反学校政策"
"fieldtrip-friday","Has a field trip Friday","周五参加课外活动"
"fieldtripform-friday","Has a field trip Friday. Please return the signature form.","周五参加课外活动。 请返还签名表格。"
"fieldtrip-monday","Has a field trip Monday","周一参加课外活动"
"fieldtripform-monday","Has a field trip Monday. Please return the signature form.","周一参加课外活动。 请返还签名表格。"
"fieldtrip-nextfriday","Has a field trip next Friday","下周五参加课外活动"
"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","下周五参加课外活动。 请返还签名表格。"
"Fieldtrip-nextmonday","Has a field trip next Monday","下周一参加课外活动"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","下周一参加课外活动。 请返还签名表格。"
"fieldtrip-nextthursday","Has a field trip next Thursday","下周四参加课外活动"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","下周四参加课外活动。 请返还签名表格。"
"fieldtrip-nexttuesday","Has a field trip next Tuesday","下周二参加课外活动"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","下周二参加课外活动。 请返还签名表格。"
"fieldtrip-nextwednesday","Has a field trip next Wednesday","下周三参加课外活动"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","下周三参加课外活动。 请返还签名表格。"
"fieldtrip-thursday","Has a field trip Thursday","周四参加课外活动"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","周四参加课外活动。 请返还签名表格。"
"fieldtrip-tuesday","Has a field trip Tuesday","周二参加课外活动"
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","周二参加课外活动。 请返还签名表格。"
"fieldtrip-wednesday","Has a field trip Wednesday","周三参加课外活动"
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","周三参加课外活动。 请返还签名表格。"
"projectdue-friday","Has a project due Friday","有一项周五须上交的项目"
"projectdue-nextweek","Has a project due in one week","有一项一周内须上交的项目"
"projectdue-monday","Has a project due Monday","有一项周一须上交的项目"
"projectdue-nextfriday","Has a project due next Friday","有一项下周五须上交的项目"
"projectdue-nextmonday","Has a project due next Monday","有一项下周一须上交的项目"
"projectdue-nextthurday","Has a project due next Thursday","有一项下周四须上交的项目"
"projectdue-nexttuesday","Has a project due next Tuesday","有一项下周二须上交的项目"
